Map,Type,Index,Name,Description
,,,,
Entryway (MAP01),Armor,17,"","",
Entryway (MAP01),Shotgun,37,"","",
Entryway (MAP01),Rocket launcher,52,"","",
Entryway (MAP01),Chainsaw,68,"","",
,,,,
Underhalls (MAP02),Red keycard,31,"","",
Underhalls (MAP02),Blue keycard,44,"","",
Underhalls (MAP02),Mega Armor,116,"","",
Underhalls (MAP02),Super Shotgun,127,"","",
,,,,
The Gantlet (MAP03),Mega Armor,5,"","",
The Gantlet (MAP03),Shotgun,6,"","",
The Gantlet (MAP03),Blue keycard,85,"","",
The Gantlet (MAP03),Rocket launcher,86,"","",
The Gantlet (MAP03),Partial invisibility,96,"","",
The Gantlet (MAP03),Supercharge,97,"","",
The Gantlet (MAP03),Mega Armor,98,"","",
The Gantlet (MAP03),Red keycard,104,"","",
The Gantlet (MAP03),Chaingun,122,"","",
The Gantlet (MAP03),Backpack,146,"","",
,,,,
The Focus (MAP04),Super Shotgun,4,"","",
The Focus (MAP04),Blue keycard,21,"","",
The Focus (MAP04),Red keycard,32,"","",
The Focus (MAP04),Yellow keycard,59,"","",
,,,,
The Waste Tunnels (MAP05),Rocket launcher,45,"","",
The Waste Tunnels (MAP05),Super Shotgun,46,"","",
The Waste Tunnels (MAP05),Blue keycard,50,"","",
The Waste Tunnels (MAP05),Plasma gun,53,"","",
The Waste Tunnels (MAP05),Red keycard,55,"","",
The Waste Tunnels (MAP05),Supercharge,56,"","",
The Waste Tunnels (MAP05),Mega Armor,57,"","",
The Waste Tunnels (MAP05),Yellow keycard,78,"","",
The Waste Tunnels (MAP05),Armor,151,"","",
The Waste Tunnels (MAP05),Supercharge,170,"","",
The Waste Tunnels (MAP05),Shotgun,202,"","",
The Waste Tunnels (MAP05),Berserk,215,"","",
,,,,
The Crusher (MAP06),Red keycard,0,"","",
The Crusher (MAP06),Yellow keycard,1,"","",
The Crusher (MAP06),Blue keycard,36,"","",
The Crusher (MAP06),Supercharge,55,"","",
The Crusher (MAP06),Plasma gun,59,"","",
The Crusher (MAP06),Blue keycard,74,"","",
The Crusher (MAP06),Blue keycard,75,"","",
The Crusher (MAP06),Megasphere,94,"","",
The Crusher (MAP06),Armor,130,"","",
The Crusher (MAP06),Super Shotgun,134,"","",
The Crusher (MAP06),Mega Armor,222,"","",
The Crusher (MAP06),Rocket launcher,223,"","",
The Crusher (MAP06),Backpack,225,"","",
The Crusher (MAP06),Megasphere,246,"","",
,,,,
Dead Simple (MAP07),Megasphere,4,"","",
Dead Simple (MAP07),Rocket launcher,5,"","",
Dead Simple (MAP07),Partial invisibility,7,"","",
Dead Simple (MAP07),Super Shotgun,8,"","",
Dead Simple (MAP07),Chaingun,9,"","",
Dead Simple (MAP07),Plasma gun,10,"","",
Dead Simple (MAP07),Backpack,43,"","",
Dead Simple (MAP07),Berserk,44,"","",
Dead Simple (MAP07),Partial invisibility,60,"","",
Dead Simple (MAP07),Partial invisibility,73,"","",
Dead Simple (MAP07),Partial invisibility,74,"","",
,,,,
Tricks and Traps (MAP08),Plasma gun,14,"","",
Tricks and Traps (MAP08),Rocket launcher,17,"","",
Tricks and Traps (MAP08),Armor,36,"","",
Tricks and Traps (MAP08),Chaingun,48,"","",
Tricks and Traps (MAP08),Shotgun,87,"","",
Tricks and Traps (MAP08),Supercharge,119,"","",
Tricks and Traps (MAP08),Invulnerability,120,"","",
Tricks and Traps (MAP08),Invulnerability,122,"","",
Tricks and Traps (MAP08),Yellow skull key,123,"","",
Tricks and Traps (MAP08),Backpack,133,"","",
Tricks and Traps (MAP08),Backpack,134,"","",
Tricks and Traps (MAP08),Invulnerability,135,"","",
Tricks and Traps (MAP08),Invulnerability,136,"","",
Tricks and Traps (MAP08),BFG9000,161,"","",
Tricks and Traps (MAP08),Supercharge,162,"","",
Tricks and Traps (MAP08),Backpack,163,"","",
Tricks and Traps (MAP08),Backpack,164,"","",
Tricks and Traps (MAP08),Chainsaw,168,"","",
Tricks and Traps (MAP08),Red skull key,176,"","",
Tricks and Traps (MAP08),Invulnerability,202,"","",
Tricks and Traps (MAP08),Armor,220,"","",
Tricks and Traps (MAP08),Backpack,226,"","",
Tricks and Traps (MAP08),Partial invisibility,235,"","",
,,,,
The Pit (MAP09),Berserk,5,"","",
The Pit (MAP09),Shotgun,21,"","",
The Pit (MAP09),Mega Armor,26,"","",
The Pit (MAP09),Supercharge,78,"","",
The Pit (MAP09),Berserk,90,"","",
The Pit (MAP09),Rocket launcher,92,"","",
The Pit (MAP09),BFG9000,184,"","",
The Pit (MAP09),Blue keycard,185,"","",
The Pit (MAP09),Yellow keycard,226,"","",
The Pit (MAP09),Backpack,244,"","",
The Pit (MAP09),Computer area map,245,"","",
The Pit (MAP09),Supercharge,250,"","",
The Pit (MAP09),Mega Armor,251,"","",
The Pit (MAP09),Berserk,309,"","",
The Pit (MAP09),Armor,348,"","",
,,,,
Refueling Base (MAP10),BFG9000,17,"","",
Refueling Base (MAP10),Supercharge,28,"","",
Refueling Base (MAP10),Plasma gun,29,"","",
Refueling Base (MAP10),Blue keycard,50,"","",
Refueling Base (MAP10),Shotgun,99,"","",
Refueling Base (MAP10),Chaingun,158,"","",
Refueling Base (MAP10),Armor,172,"","",
Refueling Base (MAP10),Rocket launcher,291,"","",
Refueling Base (MAP10),Supercharge,359,"","",
Refueling Base (MAP10),Backpack,368,"","",
