Map,Type,Index,Name,Description
,,,,
The Docks (E1M1),Yellow key,5,"","",
The Docks (E1M1),Silver Shield,47,"","",
The Docks (E1M1),Gauntlets of the Necromancer,52,"","",
The Docks (E1M1),Ethereal Crossbow,55,"","",
The Docks (E1M1),Bag of Holding,91,"","",
The Docks (E1M1),Tome of Power,174,"","",
,,,,
The Dungeons (E1M2),Dragon Claw,1,"","",
The Dungeons (E1M2),Yellow key,5,"","",
The Dungeons (E1M2),Green key,17,"","",
The Dungeons (E1M2),Silver Shield,18,"","",
The Dungeons (E1M2),Torch,19,"","",
The Dungeons (E1M2),Map Scroll,29,"","",
The Dungeons (E1M2),Shadowsphere,41,"","",
The Dungeons (E1M2),Bag of Holding,44,"","",
The Dungeons (E1M2),Blue key,45,"","",
The Dungeons (E1M2),Ring of Invincibility,46,"","",
The Dungeons (E1M2),Tome of Power,77,"","",
The Dungeons (E1M2),Ethereal Crossbow,80,"","",
The Dungeons (E1M2),Tome of Power,81,"","",
The Dungeons (E1M2),Gauntlets of the Necromancer,253,"","",
The Dungeons (E1M2),Silver Shield,303,"","",
,,,,
The Gatehouse (E1M3),Yellow key,8,"","",
The Gatehouse (E1M3),Green key,9,"","",
The Gatehouse (E1M3),Dragon Claw,10,"","",
The Gatehouse (E1M3),Silver Shield,22,"","",
The Gatehouse (E1M3),Ethereal Crossbow,24,"","",
The Gatehouse (E1M3),Tome of Power,81,"","",
The Gatehouse (E1M3),Bag of Holding,134,"","",
The Gatehouse (E1M3),Gauntlets of the Necromancer,145,"","",
The Gatehouse (E1M3),Torch,203,"","",
The Gatehouse (E1M3),Ring of Invincibility,220,"","",
The Gatehouse (E1M3),Shadowsphere,221,"","",
The Gatehouse (E1M3),Morph Ovum,222,"","",
The Gatehouse (E1M3),Tome of Power,286,"","",
The Gatehouse (E1M3),Tome of Power,287,"","",
,,,,
The Guard Tower (E1M4),Gauntlets of the Necromancer,0,"","",
The Guard Tower (E1M4),Dragon Claw,2,"","",
The Guard Tower (E1M4),Ethereal Crossbow,3,"","",
The Guard Tower (E1M4),Yellow key,4,"","",
The Guard Tower (E1M4),Morph Ovum,5,"","",
The Guard Tower (E1M4),Shadowsphere,57,"","",
The Guard Tower (E1M4),Green key,60,"","",
The Guard Tower (E1M4),Bag of Holding,61,"","",
The Guard Tower (E1M4),Map Scroll,64,"","",
The Guard Tower (E1M4),Tome of Power,77,"","",
The Guard Tower (E1M4),Silver Shield,78,"","",
The Guard Tower (E1M4),Torch,143,"","",
The Guard Tower (E1M4),Tome of Power,220,"","",
The Guard Tower (E1M4),Tome of Power,221,"","",
,,,,
The Citadel (E1M5),Green key,1,"","",
The Citadel (E1M5),Yellow key,5,"","",
The Citadel (E1M5),Blue key,19,"","",
The Citadel (E1M5),Tome of Power,23,"","",
The Citadel (E1M5),Ethereal Crossbow,28,"","",
The Citadel (E1M5),Gauntlets of the Necromancer,29,"","",
The Citadel (E1M5),Dragon Claw,30,"","",
The Citadel (E1M5),Ring of Invincibility,31,"","",
The Citadel (E1M5),Tome of Power,78,"","",
The Citadel (E1M5),Shadowsphere,79,"","",
The Citadel (E1M5),Bag of Holding,80,"","",
The Citadel (E1M5),Torch,103,"","",
The Citadel (E1M5),Tome of Power,105,"","",
The Citadel (E1M5),Silver Shield,129,"","",
The Citadel (E1M5),Morph Ovum,192,"","",
The Citadel (E1M5),Map Scroll,203,"","",
The Citadel (E1M5),Silver Shield,204,"","",
The Citadel (E1M5),Torch,205,"","",
The Citadel (E1M5),Tome of Power,319,"","",
The Citadel (E1M5),Tome of Power,320,"","",
,,,,
The Cathedral (E1M6),Yellow key,8,"","",
The Cathedral (E1M6),Gauntlets of the Necromancer,9,"","",
The Cathedral (E1M6),Ethereal Crossbow,39,"","",
The Cathedral (E1M6),Dragon Claw,45,"","",
The Cathedral (E1M6),Tome of Power,56,"","",
The Cathedral (E1M6),Shadowsphere,61,"","",
The Cathedral (E1M6),Green key,98,"","",
The Cathedral (E1M6),Silver Shield,138,"","",
The Cathedral (E1M6),Bag of Holding,139,"","",
The Cathedral (E1M6),Ring of Invincibility,142,"","",
The Cathedral (E1M6),Torch,217,"","",
The Cathedral (E1M6),Tome of Power,273,"","",
The Cathedral (E1M6),Tome of Power,274,"","",
The Cathedral (E1M6),Morph Ovum,277,"","",
The Cathedral (E1M6),Map Scroll,279,"","",
The Cathedral (E1M6),Ring of Invincibility,280,"","",
The Cathedral (E1M6),Silver Shield,281,"","",
The Cathedral (E1M6),Tome of Power,371,"","",
The Cathedral (E1M6),Bag of Holding,449,"","",
The Cathedral (E1M6),Silver Shield,457,"","",
The Cathedral (E1M6),Bag of Holding,458,"","",
,,,,
The Crypts (E1M7),Yellow key,11,"","",
The Crypts (E1M7),Ethereal Crossbow,17,"","",
The Crypts (E1M7),Green key,21,"","",
The Crypts (E1M7),Blue key,25,"","",
The Crypts (E1M7),Morph Ovum,26,"","",
The Crypts (E1M7),Dragon Claw,45,"","",
The Crypts (E1M7),Gauntlets of the Necromancer,46,"","",
The Crypts (E1M7),Tome of Power,53,"","",
The Crypts (E1M7),Ring of Invincibility,90,"","",
The Crypts (E1M7),Silver Shield,98,"","",
The Crypts (E1M7),Bag of Holding,130,"","",
The Crypts (E1M7),Torch,213,"","",
The Crypts (E1M7),Torch,214,"","",
The Crypts (E1M7),Tome of Power,215,"","",
The Crypts (E1M7),Shadowsphere,224,"","",
The Crypts (E1M7),Map Scroll,231,"","",
The Crypts (E1M7),Silver Shield,232,"","",
,,,,
Hell's Maw (E1M8),Ethereal Crossbow,10,"","",
Hell's Maw (E1M8),Dragon Claw,11,"","",
Hell's Maw (E1M8),Tome of Power,63,"","",
Hell's Maw (E1M8),Gauntlets of the Necromancer,64,"","",
Hell's Maw (E1M8),Tome of Power,65,"","",
Hell's Maw (E1M8),Silver Shield,101,"","",
Hell's Maw (E1M8),Shadowsphere,102,"","",
Hell's Maw (E1M8),Ring of Invincibility,103,"","",
Hell's Maw (E1M8),Bag of Holding,104,"","",
Hell's Maw (E1M8),Ring of Invincibility,237,"","",
Hell's Maw (E1M8),Bag of Holding,238,"","",
Hell's Maw (E1M8),Ring of Invincibility,247,"","",
Hell's Maw (E1M8),Morph Ovum,290,"","",
,,,,
The Graveyard (E1M9),Yellow key,2,"","",
The Graveyard (E1M9),Green key,21,"","",
The Graveyard (E1M9),Blue key,22,"","",
The Graveyard (E1M9),Bag of Holding,23,"","",
The Graveyard (E1M9),Dragon Claw,109,"","",
The Graveyard (E1M9),Ethereal Crossbow,110,"","",
The Graveyard (E1M9),Shadowsphere,128,"","",
The Graveyard (E1M9),Silver Shield,129,"","",
The Graveyard (E1M9),Ring of Invincibility,217,"","",
The Graveyard (E1M9),Torch,253,"","",
The Graveyard (E1M9),Tome of Power,254,"","",
The Graveyard (E1M9),Morph Ovum,279,"","",
The Graveyard (E1M9),Map Scroll,280,"","",
The Graveyard (E1M9),Dragon Claw,292,"","",
The Graveyard (E1M9),Tome of Power,339,"","",
,,,,
The Crater (E2M1),Yellow key,8,"","",
The Crater (E2M1),Green key,10,"","",
The Crater (E2M1),Ethereal Crossbow,39,"","",
The Crater (E2M1),Tome of Power,49,"","",
The Crater (E2M1),Dragon Claw,90,"","",
The Crater (E2M1),Bag of Holding,98,"","",
The Crater (E2M1),Hellstaff,103,"","",
The Crater (E2M1),Shadowsphere,141,"","",
The Crater (E2M1),Silver Shield,145,"","",
The Crater (E2M1),Torch,146,"","",
The Crater (E2M1),Mystic Urn,236,"","",
,,,,
The Lava Pits (E2M2),Green key,8,"","",
The Lava Pits (E2M2),Yellow key,9,"","",
The Lava Pits (E2M2),Ethereal Crossbow,25,"","",
The Lava Pits (E2M2),Shadowsphere,67,"","",
The Lava Pits (E2M2),Ring of Invincibility,98,"","",
The Lava Pits (E2M2),Dragon Claw,109,"","",
The Lava Pits (E2M2),Hellstaff,117,"","",
The Lava Pits (E2M2),Bag of Holding,122,"","",
The Lava Pits (E2M2),Tome of Power,123,"","",
The Lava Pits (E2M2),Silver Shield,124,"","",
The Lava Pits (E2M2),Gauntlets of the Necromancer,127,"","",
The Lava Pits (E2M2),Enchanted Shield,133,"","",
The Lava Pits (E2M2),Mystic Urn,230,"","",
The Lava Pits (E2M2),Map Scroll,232,"","",
The Lava Pits (E2M2),Tome of Power,233,"","",
The Lava Pits (E2M2),Chaos Device,234,"","",
The Lava Pits (E2M2),Tome of Power,323,"","",
The Lava Pits (E2M2),Silver Shield,324,"","",
The Lava Pits (E2M2),Bag of Holding,329,"","",
The Lava Pits (E2M2),Morph Ovum,341,"","",
,,,,
The River of Fire (E2M3),Yellow key,9,"","",
The River of Fire (E2M3),Blue key,10,"","",
The River of Fire (E2M3),Green key,17,"","",
The River of Fire (E2M3),Gauntlets of the Necromancer,26,"","",
The River of Fire (E2M3),Ethereal Crossbow,57,"","",
The River of Fire (E2M3),Dragon Claw,92,"","",
The River of Fire (E2M3),Phoenix Rod,122,"","",
The River of Fire (E2M3),Hellstaff,128,"","",
The River of Fire (E2M3),Bag of Holding,136,"","",
The River of Fire (E2M3),Shadowsphere,145,"","",
The River of Fire (E2M3),Tome of Power,146,"","",
The River of Fire (E2M3),Ring of Invincibility,147,"","",
The River of Fire (E2M3),Silver Shield,148,"","",
The River of Fire (E2M3),Enchanted Shield,297,"","",
